ï»¿SupposeStory1,SupposeStory2,,Expectations,
"Sequence a 16S amplicon library from the worms with the specialized diet and from regular diet worms, blast it, compare them.",NA,Answer,"I expect to be able to analise NGS data, test ecological hypotesis and demonstrate data with graphics",Exp
"I would sequence v3v4 on an Illumina system (because this is what I know- not because I think this is the better approach). With the raw reads, I would not know what approach to take. However, once reads are clustered into OTUs, I would be comfortable to do analyses with the OTU tables. I would compare community composition from samples from worm as well at least one ""control"" model worm by using multivariate statistics. I would try CA as a first approach. However, if the first axes do not explain enough variance, I would try NMDS. My goal would be to determine if the community is significantly different than that of worms with different diets. This would require metadata- I would collect as much info as possible on this worm's and the control worm's diet. ","I honestly do not know the specific tools to analyze total DNA. I think there would be enough sensitivity to identify functional genes (processes such as denitrification, etc). However, I do not have a clue about what the sensitivity of the analysis could be and if it's enough to compare the two sites. I am sure there are limitations (eg. a certain threshold percentage of the community from each site are probably identical- so how deeply do you need to sequence in order to test the hypothesis that they are different?). However, I am completely unaware of the tools available to get there.",Answer Not sure,NA,An
NA,NA,NA,NA,NA
NA,NA,NA,NA,
NA,NA,NA,"Develop computing skills for cleaning, treatment and analyses of microbial sequencing data.",Analysis
NA,You could look at microbial community similarity/ dissimilarity between the two plot types by calculating a distance matrix. If the two plot types yield different numbers of sequence reads- you would need to perform rarefaction. ,NA and Short,I am excited to provide better answers to this survey...post EDAMAME,Hope
No idea,No idea,No idea,I am hoping that this workshop will give me the base knowledge to start analyzing the data that I have as I am at a point where I have no idea where to start or how to use bioinformatics to explore the data,Hope
"I think this might be shotgun sequencing, but it might be difficult to get BLAST hits on some of the organisms sequenced if this is a non-model worm with an unstudied digestive tract.","Sorry, I don't know how to approach this!",No idea,I hope to learn some skills that will be useful for my dissertation!,Hope
I have no idea,I have no idea,No idea,I hope to be able to answer the questions from the previous page and agree more to all of the previous questions.,hope
No idea,No idea,No idea,I want to be able to do metagenomic analysis.,hope
I don't know.,I don't know. ,No idea,I hope to learn how to use a variety of technological tools to interpret microbial sequence data. ,Hope
"I would expect there to be some challenges with the DNA extractions themselves, due to the unique gut and inhibitors; potentially requiring more nuanced DNA clean-up. Once the sequencing data has been quality filtered and cleaned up, it would be interesting to compare any taxa identified (genus-level) to known databases for model worms (C.elegans), to see if some taxa are comparable. The sequencing of the 16S would not allow for a lot of functional statements related to the specialized diet.","I have never worked with metagenomic data before, and have not read as much about this technique either.",Answer and no idea ,"To learn how to more easily move data from place to place, determine quality of a fungal ITS sequencing run, and understand how to push data-output from one program to another (e.g., USEARCH abundantOTU, etc.).",Hope
"If the research question is to grasp the whole community, 16S rRNA will be insightful to find what kind of microbes are present in the gut. This includes dead, dormant and active taxa. However, if the main question is to understand how the community functions and contributes to the digestion of the specialised diet, sequencing of 16S rRNA will not be very useful. A metagenomic approach might help in the sense of finding genes that potentially contribute to the digestion of the worm for the specialised diet.","At the moment, I have no knowledge to answer this question about sequencing sensitivity and specificity.",No idea,NA,NA
this worm will take a specific sequence not general worm. muthor and R,i am not sure what is the means.,No idea,better than before about working to analysis of microbial data ,Exp
N/A,Compare diversity of the two plot types. Soil is very heterogenous and will have variability.,Short,NA,
NA,i would use beta diversity measures to look at the differences in the community between this two assaemblages. the technical limitations is having the knowledge on the appropriate tools to use in the analysis,Short,i want to be able to have the technical knowledge on microbiome data analysis and the appropriate tools and techniques to employ,Analysis
