"Timestamp","Developing a computing workflow","Navigating terminal","Using Amazon EC2","Installing and running mothur","Executing R scripts","Choosing ecological statistics to analyze microbial community data","Using software installed on an Amazon EC2 image","Assembling metagenomes and determining assembly quality","Running a local BLAST","Retrieving data from NCBI","I understand what “cd” means.","I know how to assess the quality of Illumina data.","I know the computational commands to summarize sequencing data in mothur","I know how to run R.","I can name at least two different microbial metagenome databases/repositories.","I know what an “R package” is.","I understand the structure of an OTU table.","I know what a “k-mer” is.","I know what a contig is.","I know how to start an EC2 instance.","I know the difference between within-sample (alpha) and comparative (beta) diversity.","I know how to use metadata to guide community analyses.","I know how to assemble shotgun metagenomic data.","I know how to map reads in metagenome analysis","I can independently execute the steps of microbial SHOTGUN metagenomic analysis from raw data processing to statistics. ","I can independently execute the steps of microbial AMPLICON metagenomic analysis from raw data processing to statistics. ","I can make informed choices for analysis parameters for AMPLICON analyses in mothur. ","I understand the differences between unassembled and assembled shotgun metagenomic data.","I understand the limitations of unassembled and assembled shotgun metagenomic data.","I understand what a k-mer is.","I can determine the quality of a shotgun metegenome assembly.","I can think through the steps of a sequencing analysis from start to finish.","I can use an R package to analyze data.","I can move data from at least one other program into R.","I can find and move files on a computer using terminal.","I can evaluate the quality of raw sequencing data.","I can start a remote session using tmux","I can visualize microbial sequencing data in R","I can search for public datasets that are relevant to my own project.","I CANNOT process and quality control SHOTGUN metagenome data unless someone else helps me get started.","I CANNOT process and quality control AMPLICON metagenome data unless someone else helps me get started.","I can complete an analysis project if I have a lot of time to complete the project.","I can complete an analysis project if I have just the help of my research mentor for assistance.","I can find ways of overcoming the problem if I get stuck at a point during data analysis.","I CANNOT complete a data analysis project unless I can call someone for help if I get stuck.","I understand how to design an experiment that minimizes limitations inherent to sequencing methods.","I understand the technical limitations of metagenome data.","Navigating around a Unix file system to view and manipulate files","Making and using a ""key"" for secure EC2 connection","Obtain summary information about sequence files (fasta, fna, fastq)","Calculating resemblance (e.g., similarity, dissimilarity, or distance) matrices from an OTU table","Trimming or filtering out errors from sequences by identifying low coverage kmers in high coverage areas","Assembling a metagenome","Differentiating data modes in R, including numeric, complex, logical, character modes","Testing hypotheses about differences in community structure across samples or sites","Identifying features of public sequence databases that are useful to your research","Suppose that you are doing a 16S rRNA gene marker analysis of the gut microbial community from a non-model worm.  This worm has a unique digestive tract evolved for the breakdown of a specialized diet.  Discuss a sequencing strategy, a number of challenges you expect to face, and what kinds of additional resources are needed to help explore your data set.","Suppose that you are using the Illumina platform to sequence total DNA from soil samples.  For this particular study, the soil samples come evenly distributed from two plot types on a single farm - one growing corn, the other dairy cow pasture. Discuss one or more approaches you would take to analyze the data, as well as your expected sensitivity and specificity to taxonomic and functional sequence identification. Include in your discussion the technical limitations of your analysis.","What is your age?","What is your academic status?","What is your gender?","What is your ethnicity? CHOOSE ALL THAT APPLY","Please provide any additional comments about your expectations for the workshop below. ","Please provide an anonymous code (letters and/or numbers) below.  Please remember this code so that you can use it in the post-survey. This will be used to match pre- and post-course surveys while protecting your anonymity."
"2017/08/07 9:25:40 AM AST","Low Ability","Low Ability","No Ability","Low Ability","Low Ability","No Ability","No Ability","Intermediate Ability","No Ability","Low Ability","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Agree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Agree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Comfortable","I do not know what this is.","Uncomfortable","Uncomfortable","I do not know what this is.","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Maybe look at known sequences from similar worms to build primer sets to target the desired worm. It might be difficult since it is a non-model worm. Find someone to help me because I am really not sure. ","I am not sure, but I hope to be able to answer this by the end of the course. ","35","Graduate Student","Female","Do not want to answer","I hope to gain a better understanding of the tools I need to analyze 16s rRNA soil sequences. ","886900"
"2017/08/07 9:27:01 AM AST","No Ability","No Ability","No Ability","No Ability","Low Ability","Intermediate Ability","No Ability","No Ability","No Ability","No Ability","Agree","Disagree","Strongly Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Uncomfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Very Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","PREPARE LIBRARY: 1) DNA extraction, 2) QC on DNA (gel and DNA concentration) 3) insert primers and bar codes, 4) PCR amplification, 5) QC, Include negative and positive controls from the first step. SUBMIT for SEQUENCING: QC on sequence data. Align, Blast and bin sequences. Community ananlyses using disimilarity matrices etc. Will need database for OTU binning, metadata on non-model worm, multiple sample replication to account for variability, external server.","First look for differences in community composition from relative abundance data (multivariate ordination approach) followed by examining differences at different taxonomic levels (class and phyla), explore potential indicator otus between the sites, examine if sample locations within a site are more similar relative to treatment.  Some challenges would be the potential differences in the depth of sequencing between the two sits as well as adequately capturing the heterogeneity within a site and what to do with 'rare' species.","40","Ph.D.-holding Professional","Female","Caucasian/White","introduction to workflow and amplification sequence analysis (especially including QC)  to a point where I can begin analyses independently on my own data with assistance from my local resources as well as online resources.","1021"
"2017/08/07 9:27:52 AM AST","Low Ability","Low Ability","Low Ability","No Ability","Low Ability","Low Ability","No Ability","No Ability","No Ability","No Ability","Strongly Agree","Agree","Strongly Disagree","Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Agree","Strongly Agree","Disagree","Agree","Disagree","Agree","Disagree","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","16S rRNA sequencing as well as shotgun metagenome sequencing. There will be difficulties understanding the mechanism because the worm is non-model. Other publicly available data could be used during analysis to compare and undersand the data. ","The data would be categorized based on treatment and analyze the alpha and beta diversity. PCoA would be useful to see if there is any difference between treatment groups. The sensitivity could go down to genus level on taxonomic identiication with Illumina. ","26","Graduate Student","Male","Asian/Asian American","","strytan"
"2017/08/07 9:28:57 AM AST","Low Ability","Low Ability","No Ability","No Ability","Low Ability","Low Ability","I'm not sure what this is","Low Ability","Low Ability","Low Ability","Strongly Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly Disagree","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Comfortable","I do not know what this is.","Comfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","My sequencing strategy would be to prep the 16S rRNA gene markers using PCR in the lab and then send them off for sanger sequencing. Then I would use the BLAST database to identify the species in the worm gut. Problems I could foresee include the inability to identify unique species when blasting against known species that may not be similar to species in this unique gut environment. I would also expect that differences in the gut microbial community may not be seen at the level of the 16S rRNA gene, if the environment only supports a small subset of microbial species. Finally, I think there could be potential contamination of the gut samples with 16S rRNA genes from worm mitochondria, if the samples were not collected properly.  ","The first step I would take would be to assess the quality of the data and use trimmomatic to clean up the sequences. Next I would run qiime to create a mapping file to run in R to create an NMDS or something of the sorts? That is all I know how to do and I cannot say much else on the matter... ","24","Graduate Student","Female","Caucasian/White","Disclaimer: I am not attending the workshop in full due to other commitments this week so if I am still ignorant on my post-assessment do not take it too personally!","The code is code "
"2017/08/07 9:29:39 AM AST","Low Ability","No Ability","No Ability","No Ability","Intermediate Ability","Low Ability","I'm not sure what this is","No Ability","No Ability","Low Ability","Disagree","Disagree","Strongly Disagree","Strongly Agree","Disagree","Strongly Agree","Disagree","Disagree","Strongly Agree","Disagree","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Agree","Disagree","Disagree","Strongly Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Very Uncomfortable","Very Uncomfortable","Uncomfortable","Uncomfortable","Very Uncomfortable","Very Uncomfortable","Comfortable","Comfortable","Comfortable","I would choose broad-spectrum 16s PCR primers, and make libraries from 16s PCR products from a large number of worms grown under similar conditions. Then I would use Roche 454 pyrosequencing to sequence the libraries. I would use the NCBI database or another database to identify the sequences I find and then compare them to public datasets of gut microbiomes of model worms in order to find similarities and differences. Alternatively, I would include gut microbiome samples from a model worm in my sequencing project in order to be able to compare them and find both the similar and unique OTUs. I expect that there will be a large number of un-identifiable OTUs as it is not a model organism and likely contains microbes that are not characterized. ","I would use the QIIME pipeline to analyze differences between microbial communities from the two plot types. First I would look at within-plot type diversity, and then compare to between-plot type diversity. Then I would look at differences in abundance and richness between the plot types in order to identify  community differences. I expect that this type of study will have relatively low sensitivity for identifying OTUs as we are sequencing total soil DNA rather than just 16s. However, this does enable us to identify community differences in functional genes, such as nutrient cycling genes; however, still with somewhat low resolution, unless a massive level of sequencing is performed.  ","26","Graduate Student","Female","Caucasian/White","Based on this assessment I clearly have a lot to learn, and I'm excited for the opportunity!","5870"
"2017/08/07 9:29:44 AM AST","Low Ability","Intermediate Ability","No Ability","Low Ability","Intermediate Ability","Intermediate Ability","No Ability","Low Ability","Intermediate Ability","Intermediate Ability","Strongly Agree","Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Very Comfortable","Uncomfortable","Very Comfortable","Comfortable","Comfortable","Uncomfortable","Comfortable","Comfortable","Uncomfortable","Upon extracting DNA from the worm, I'd perform a library prep for multiplexing the 16s amplicons on an Illumina sequencing platform such as MiSeq or HiSeq. After receiving the sequencing data, I would QC my data to remove poor reads. At that point, I would use MothuR to to attempt to align my reads and get an idea of the community composition of my worm. However, this would be problematic because, as mentioned, there are likely many novel microorganisms present in my sample and they would likely not be present in microbial databases making alignments difficult. This paired with the short reads from Illumina sequencing would make it difficult  to get higher resolution community data from the bulk of my reads. I don't know of an easy fix for this problem, but moving towards longer read sequencing platforms such as Pacbio or Oxford Nanopore may help provide additional information. However, I think a metagenomic approach paired with some culture-based isolation and sanger sequencing may be a labor intensive, but good way to go. ","My understanding is that is difficult to get high sensitivity/specific taxonomic identifications when dealing with soil metagenomic samples because soil samples are inherently species rich and dense in terms of total bacterial population. This makes getting an appropriate sequencing depth difficult or at least expensive. This sequencing depth is going to be the main consideration that will dictate your expected sensitivity. This relationship between sequencing depth and sensitivity can be determined after data analysis using a variety of packages that perform analyses somewhat similar to a rarefaction curve.  I believe that rarefaction curves have fallen out of favor though and I'm unfamiliar with what the preferred analytical technique is. I'd recommend doing a pilot sampling of both sample sites in order to determine an optimal sequencing depth before conducting the experiment. ","27","Graduate Student","Male","Caucasian/White","","mtbike"
"2017/08/07 9:32:46 AM AST","Intermediate Ability","Intermediate Ability","No Ability","High Ability","Intermediate Ability","Low Ability","No Ability","No Ability","Low Ability","Low Ability","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Disagree","Disagree","Strongly Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Disagree","Strongly Agree","Agree","Agree","Disagree","Agree","Agree","Very Comfortable","Uncomfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Very Comfortable","Very Comfortable","Uncomfortable","do 16S rRNA sequencing (Illumina; MiSeq) of at least 30 gut microbial samples, process the data through mothur/qiime, subsample your sequences to the lowest number of sequences, figure out if you're sequencing depth was adequate (e.g. rarefaction curves plateau), analyze and visualize your data in R.  Challenges: since the worm has such specialized diet, maybe many of the OTUs will be unclassified and possibly rare. Would have to pick worms of similar size/weight, age, health status, and who have the same diet (if influence of diet is not the question you are interested in). These are all confounding variables you must try to control for during research design OR during analyses. Additional resources: I need metadata on the gut samples, sequencing software, R, Stack Overflow, and book on multivariate statistics.","I would compare the metagenomic content (gene and gene patwhays) of the microbiota between the two plot types (corn vs pasture), and also within a sample if we have other correlates we think are important. I have problems with this study because it is one farm and two plot types; how do we know these findings are not unique to this one farm? also what is the question? how corn and pasture vegetation differ in their soil microbiota? if so, there are so many other confounding variables (age of site, soil type, differential amounts of water, level of disturbance).","25","Graduate Student","Female","Latino(a)","I think I will learn a lot, especially about analyzing metagenomic data because I am completely new to that. Also, I know nothing about NCBI and BLAST. I expect to sharpen my knowledge on the rest of the material (sequence processing, R, unix/shell commands, running stats).","9R67"
"2017/08/07 9:33:30 AM AST","Low Ability","Intermediate Ability","No Ability","Low Ability","High Ability","Intermediate Ability","No Ability","Intermediate Ability","Low Ability","High Ability","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Disagree","Strongly Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Disagree","Strongly Agree","Disagree","Agree","Agree","Very Comfortable","Uncomfortable","Comfortable","Very Comfortable","Uncomfortable","Very Uncomfortable","Very Comfortable","Comfortable","Comfortable","I would sequence a few samples from the diggestive tract of that worm as well as other close relatives that do not share that rare diet. From each worm I would extract the DNA from the whole gut (depending on the diet, this could be a challenge) by dissecting the gut in a sterile environment and send the samples to sequencing. Because contamination could be an aditional problem I would also send a wash of my dissecting tools (the ones that were supposed to be sterile) to sequence as controls. I will then sequence all my samples in the same run (to minimize variation due to the sequencing)- however one of the main challenges is that depending on the complexity of the coomunities I could get very different coverage of the whole community and it is hard to know exactly the coverage needed before knowing the diversity of the sample. Once I get the results back I would have to assemble my samples and map them to known taxa using the available data bases. Because this is a non-model worm with very speciallized diet, the OTU assignment can be a challenge and I might miss important information if I cut the OTU at the 97% identity level or lower. One could potentially just use the diversity in 16s sequences by aligning them and determining the nucleotide diversity within the sample. I will need speciallized software to assemble the 16s genes, perform the alignment and OTU assignments as well as to calculate the nucleotide diversity in my samples. For comparing the diversity across my samples I will need to account for the phyllogenetic diversity of the worms themselves, which might be hard with a non-model species. ","First of all, given that this are whole genome sequences of soil samples (with high microbial diversity and complexity) depending on my number of replicates I might want to do more than line. I would want to do the sequencing by blocking my replicates, so that no treatment is overrepresented in a particular line of illumina. Then I would assemble genes as far as possible (this is particularly hard when there are no good reference databases. Depensing on my question I might look at genes of ineterest in a partisular function or functions (e.g. antibiotic production or nitrogen fixation). However having a greater diversity of genes for that function present does not necessarilly mean that the functions are currently being carried out (genes might not be expressed and there is a probability of miss-calling genes, specially if they are pseudogenes or have recently aquired new functions. Another approach is to use whole genome metrics like G-C content and total number of genes as the fuctional traits of interest. The problem is that is not necesarily clea what function is that and it depends on a proper assignment of genes to particular genomes. ","28 ","Ph.D.-holding Professional","Female","Latino(a)","I hope I will be able to fill in some gaps in my knwoledge and learn some of the limitations and short-comings of these approaches and learn some of the properties of the data to improve my experimental analysis and come up with methods that provide the most informative answers to my questions. ","BANANA"
"2017/08/07 9:33:43 AM AST","I'm not sure what this is","No Ability","No Ability","No Ability","Intermediate Ability","Low Ability","No Ability","No Ability","No Ability","Low Ability","Agree","Disagree","Strongly Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Agree","Agree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Disagree","Disagree","I do not know what this is.","I do not know what this is.","Very Uncomfortable","Very Uncomfortable","Very Uncomfortable","Very Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","I would begin by collecting worms and sterily dissecting them to remove contents from their digestive tracts.  I would then extract DNA using some kind of a fecal or soil DNA extraction kit.  PCR would be done using 16S primers and then submitted to some kind of sequencing platform.

I'm not sure what specific challenges to expect from a sequencing perspective or what specific resources would be needed.","I would begin by looking for the overall similarity between the two sites by seeing how many OTUs were shared or distinct in the two plot types, possibly making a Venn diagram to show it.  I would then use NMDS to look for general differences between the two plot types and see whether the variation within a plot is distinct from the variation between the plots.  If there do appear to be major differences, I would then look at the dominant families within the two plots and see whether they show specific life history strategies associated with the two environments (for example, if the dairy cow pasture had more methanogens or organisms capable of tolerating high nitrogen concentrations).  I would then look at patterns in the life histories of the dominant taxa in each group to understand what is driving the difference.
Since I'm sequencing total DNA from soils, I would expect to find diverse taxa (many that were previously unidentified) so I would expect most of my reads to be identified to species.","25","Graduate Student","Male","Caucasian/White","","CoolMicrobesRule"
"2017/08/07 9:41:06 AM AST","No Ability","Low Ability","No Ability","Low Ability","Intermediate Ability","Low Ability","No Ability","Low Ability","Low Ability","Intermediate Ability","Strongly Agree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Strongly Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Comfortable","Very Uncomfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Comfortable","Comfortable","Comfortable","I would use general 16S primers to get a feel for the general population of the microbes in this gut.I might consult the literature to find if there is a group of bacteria that was driving variation in this gut and see if I could use/develop primers to get at this community of microbes...I would be concerned that relative proportions of bacterial groups was not properly represented and I would note that 16S wouldnʻt provide any information about the function of these microbes. ","I donʻt know if Iʻm interpreting the question properly, but I think we are assuming the sequences are evenly distributed among the sample...I donʻt really know how to assess the sensitivity or specificity of these things, but I assume Iʻve run some sort of mock community with my samples and maybe can use this to get at specificity. I might also have an idea of what organisms I expect based on what has been previously described in the literature.   ","34","Graduate Student","Female","Asian/Asian American;Caucasian/White","","Veggie Ambassador "
"2017/08/07 9:44:19 AM AST","Low Ability","No Ability","No Ability","Low Ability","Low Ability","No Ability","Low Ability","No Ability","No Ability","Intermediate Ability","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Agree","Strongly Disagree","Strongly Agree","Very Uncomfortable","Very Uncomfortable","Very Uncomfortable","Very Uncomfortable","Very Uncomfortable","Very Uncomfortable","Very Uncomfortable","Comfortable","Uncomfortable","I could find out the specialized diet tract to identify the gene piece, the sequencing gene should be targeting at this gene piece. It could be difficult to figure the breakdown pathway, or identify that gene piece. I don't know.","The bugs from two different fields should be different based on the nutrient resources, hypothetically. I could analyze the functional differences of two types of soils, and the bacterial strengths of tolerating different levels of irons from different land fields.","25","Graduate Student","Female","Asian/Asian American","As a first year PhD student (expecting to graduate in 4 years), I expect this workshop could help me catch up with all the data analysis knowledge I am lacking of by now.","140523"
"2017/08/07 9:46:03 AM AST","Intermediate Ability","Intermediate Ability","No Ability","No Ability","Intermediate Ability","Low Ability","No Ability","Low Ability","Low Ability","Intermediate Ability","Strongly Agree","Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Comfortable","I do not know what this is.","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Very Comfortable","Uncomfortable","Comfortable","-Sequence at least 3 samples
-Trim reads based on a quality threshold, which threshold to chose? 
-Perform chimera filtering and decontamination
-Perform a read based analyses by Blasting to a specific database, which database to use? Which e-value? Percent identity? Coverage?
-Remove singletons 
-Obtain a coverage table. Normalize to what? 16S rRNA different  copy numbers Rarefy to min sample number?
-Process samples using a statistical software such as R
-Compare to available model worm study? Which statistical test to perform? ANOVA? Which diversity metrics to use? Which distance is more appropriate, Manhattan, Bray Curtis, etc.?
-Generate plots annotated with metadata. How to incorporate this metadata in the analyses for statistically sound tests?
","-Can use to approaches to analyze the data: read based analyses and comparing to a database or doing de novo assembly and generate contigs later matched to a database.  The assembly approach would provide more sensitivity and specificity due to longer reads.
-Using the assembly route, first trim for read quality and adapter removal 
-Assemble contigs, which assembler to use? How to assess assembly quality?
-Map reads back to contigs and generate coverage table, which software to use? Any coverage threshold required?
-Annotate contigs to database, predict ORFs, nucleotide or amino acid blast? Thresholds?
-Process samples using a statistical software such as R
-Which statistical test to compare samples?","27","Graduate Student","Female","Latino(a)","I expect to obtain more statistical knowledge in order to choose the best test to compare shotgun metagenomic data within and across samples ","kattysevi89"
"2017/08/07 9:47:27 AM AST","Low Ability","Low Ability","No Ability","No Ability","Intermediate Ability","Intermediate Ability","No Ability","No Ability","Low Ability","Low Ability","Strongly Agree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Disagree","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Strongly Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Uncomfortable","Very Uncomfortable","Uncomfortable","Uncomfortable","Very Uncomfortable","Very Uncomfortable","Comfortable","","Uncomfortable","Worm gut material is removed, bacterial (and possibly fungal) DNA is extracted and purified prior to amplification of the 16S rRNA gene by PCR using appropriate adapters and barcodes. Product length is checked to make sure it is appropriate and DNA concentrations are normalized before submitting for submitting for paired-end sequencing. After data is returned it can be demultiplexed and worked up using QIIME and R packages such as phyloseq to assign phylogeny. Challenges include (1) PCR bias (2) as this is a niche organism it unlikely that we'll get very good comparisons against many databases for determining phylogeny. identification will be very non-specific.","Using QIIME Data is to be de-multiplexed with ends trimmed appropriately as quality drops off. After this OTU tables can be made and a .biom file created which can be parsed against a database (greengenes) using the physeq package in R. For this experiment I want to look at differences in the relative abundance of OTUs in samples from each treatment, probably by using something like Deseq2. OTUs are likely only to be resolved at the level of phyla.  A downside to this approach is that differences in intra-sample variability can impact our assessments of significance.","29","Ph.D.-holding Professional","Male","Caucasian/White","As you can see from my answers I only really have a passing familiarity with one pipeline (and that understand is remedial at best). I hope to (1) learn about additional resources and techniques (2) learn when and why it is beneficial to apply them (3) build confidence in my understanding","77765"
"2017/08/07 9:48:44 AM AST","Low Ability","Low Ability","No Ability","No Ability","Low Ability","Low Ability","No Ability","No Ability","Low Ability","Intermediate Ability","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Disagree","Uncomfortable","Very Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Uncomfortable","Very Comfortable","Comfortable","Look for libraries of genetically-closely related model worms and determine which primer were used. Use the same primers for the non-model worm. Determine gut flora of different sections of the then non-model worm, and then over the entire gut. Compare the gut flora to model worms. As the diet has specialized, I would feed the non-model worm something similar to it's food of choice to observe changes in the diet. I would also look at different life stages of the worm. ","I would begin with 16s data to see who is there. As a cow pasture is made up of different types of plant, and plants select for microbe populations, I would include identification of the plants in the pasture. I would use these dataset to compare to the data I collected on the soil i.e. chemical content, soil pH, soil moisture for my first paper. I would expect the microbial populations to be less diverse in the corn soil samples than the dairy cow pasture. Then I would use the information from this course to determine the populations from a metagenomics approach and compare this information to the 16s and the soil conditions. I would also focus on genes known to be associated with denitrification, as the sources of nitrogen will vary between the two fields; second paper. ","38","Ph.D.-holding Professional","Male","Asian/Asian American;Caucasian/White","I expect to be an expert by Saturday. ","2016_15.3"
"2017/08/07 9:53:25 AM AST","I'm not sure what this is","I'm not sure what this is","No Ability","No Ability","No Ability","No Ability","No Ability","Low Ability","Low Ability","Low Ability","Agree","Disagree","Strongly Disagree","Strongly Disagree","Agree","Disagree","Disagree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Disagree","Disagree","Agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Agree","Strongly Disagree","Disagree","Agree","I do not know what this is.","I do not know what this is.","Comfortable","Uncomfortable","Uncomfortable","Uncomfortable","Very Uncomfortable","Uncomfortable","Uncomfortable","I don't know what sequencing strategy I would use, I guess some Illumina platform but it's because it's more familiar to me. The challenges I expect to face are that the uniqueness of the digestion tract does not let you make conclusions about the special diet influence in the microbiota of the worm, it need to be compared to a model worm. 
","The soil samples have different factors that influence their microbial communities, the cows and the cow's manure for one side and the corn, fertilizers and/or pesticides or other things to enhace the growth on the other. 
For a Illumina sequencing I usually expect 450 bp long contigs, so the taxonomic identification coul be to a family level. I would analyze the data on QIIME, but just because I'm more familiar with it and I don't know other tools. 
Other technical limitations would be the lack of an unintervened soil, to evaluate which microbial communities where present in the soil and which where enhanced or introduced by the cows and the corn. ","27","Professional (I'm an environmental engineer working as an assistan investigator)","Male","Latino(a)","I expect to learn all that I can about metagenomics, to know the differences about platforms and which strategies are better to use, the different analysis to perform that exist, and how to find information if there's something I didn't learn. ","Kkhuate8"
