TimestampPre,NavtermPre,PythonScriptPre,AmazonE2Pre,InstallMothurPre,RunQIIMEPre,ExecRScriptPre,ChooseEcoStatPre,InstallAmazonE2Pre,AssembleMetaPre,UseGithubPre,RunBLASTPre,UseMGRASTPre,UseAPIPre,UnderstandCDPre,UnderstandPYPre,IlluminaDataPre,SumSequencePre,RunRPre,QIIMEvsMothurPre,BIOMFiles_NoPost,TwoMicrobialPre,CDpkgPre,StructureOTUPre,KnowKMERPre,KnowContigPre,KnowEC2Pre,KnowWithinsamplePre,KnowMetadataPre,KnowShotgunPre,KnowMetagenomeBinPre,KnowHPCCPre,KnowMetavsAssemPre,ExecuteShotgunPre,ExecuteAmpliconPre,InformedAmpliconQiimePre,InformedAmpliconMothurPre,DiffAssembledMetagenomicPre,LimitationsMetagenomicPre,AdvantageDisadvMetagemonicPre,UnderstandKmerPre,QualShotgunPre,RpgkAnalyzeDataPre,MoveDataIntoRPre,MoveFilesTerminalPre,EvalRawSequencePre,SearchPublicDatasetsPre,CannotShotgunWOHelpPre,CannotAmpliconWOHelpPre,CanCompleteLotofTimePre,CanCompleteMentorPre,CanOvercomeifStuckPre,CannotWOHelpPre,MinimizeLimitationsSequencingPre,UnderstandTechLimitationsPre,UnderstandMGRASTPre,UseGitPre,NavUnixPre,MakeE2KeyPre,InstallAuxSoftwarePre,UseFastQCPre,SumInfoSequenceFilesPre,CalcOTUPre,TrimSeqErrorsPre,AssembleMetagenomePre,BinMetagenomePre,DiffDataModelsPre,TestHypothesesPre,IDPublicSequenceDataPre,ObtainSeqfromMGRASTPre,SupposeStory1Pre,SupposeStory2Pre,Age,AcadStatus,Gender,Ethnicity,ExpectationsPre,AnonCodePre
2016/07/11 8:25:16 AM EST,Low Ability,No Ability,Low Ability,Intermediate Ability,Low Ability,Low Ability,No Ability,No Ability,No Ability,No Ability,No Ability,Low Ability,No Ability,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,I do not know what this is.,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,"Upwards of 6 biological replicates for power analysis to ensure data are sufficient for question.
Similarity matrix in mothur or similar program.
Correlations with diet or other stressor, using PRIMER-E or similar statistics program.
Need HPCC.",Assembly of fragments. Lower abundance organisms may not be well represented. Genus might be as specific as I can get.,41,Bench scientist,Male,Caucasian/White,"I expect to be able to take a large dataset of illumina ribosomal amplicons and compare the microbial communities of the different sample set, as well as draw conclusions based on the correlations between the metadata and the community composition.",3495
2016/07/11 8:25:45 AM EST,Intermediate Ability,Low Ability,No Ability,No Ability,No Ability,Low Ability,Intermediate Ability,No Ability,Low Ability,Low Ability,Low Ability,No Ability,No Ability,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Very Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Very Comfortable,Very Comfortable,I do not know what this is.,"First questions would be about sampling strategies for obtaining nucleic acids from individuals of this worm. How many worms, where are they from, what diversity across worms might one expect? What have the worms to be sampled been eating?  In thinking about this, would consider aims of this project - are we looking to understand diversity of gut microbes? looking for novel species? etc. Next question would be about extraction strategies - both DNA and RNA? -- and dealing with potential biases resulting from the extraction process. Then would think about whether necessary to reduce host DNA signal in some way and how to do that. Then would think about strategy for library prep - costs vs need to get fine grain info from different samples etc. Would think about multiplexing strategies for Illumina, desired coverage etc. Would  run some tests before committing to further runs and deciding about whether using singles, paired ends, length etc.","Big issue: potential for pseudo-replication. Would want to redesign study so that took data from two plot types across SEVERAL farms, where each type of plot was represented at each farm.",,Ph.D.-holding Professional,,,,G1o2o3d4Apple
2016/07/11 8:26:13 AM EST,No Ability,No Ability,No Ability,No Ability,No Ability,Low Ability,No Ability,No Ability,No Ability,Low Ability,No Ability,No Ability,No Ability,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Very Uncomfortable,I do not know what this is.,I do not know what this is.,I do not know what this is.,I do not know what this is.,I do not know what this is.,I do not know what this is.,Very Uncomfortable,I do not know what this is.,Uncomfortable,Very Uncomfortable,Very Uncomfortable,I do not know what this is.,,,25,Graduate Student,Male,Asian/Asian American,,imation@1990
2016/07/11 8:26:20 AM EST,Intermediate Ability,Low Ability,No Ability,No Ability,Low Ability,High Ability,Intermediate Ability,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Uncomfortable,I do not know what this is.,I do not know what this is.,Uncomfortable,Uncomfortable,Uncomfortable,I do not know what this is.,Very Uncomfortable,I do not know what this is.,Comfortable,Comfortable,Comfortable,I do not know what this is.,I would sequence the samples as deep as I could because I don't know what to expect. One of the challenges would be that if it is an unknown organism probably the bacteria it harbors is also unknown. A good database or other studies involving animals with similar diet would be  helpful resources.,"I would do basic diversity analysis to compare richness, diversity etc and some multivariate analysis to compare differences in composition. I believe soil microbes are relatively well-known so I would expect a good sensitivity and specificity to taxonomic and functional sequence identification. However, I'm not sure if that would be enough to recognize differences between bacteria from both plots, so maybe a shotgun metagenomics would be a better approach. The limitations of the analysis are that they are just descriptive, there are no predictions and only evaluating diversity and composition, for example, will not say anything about functionality. Also, they would not be able to tell the main species that differ from both sites.",28,Graduate Student,Male,Caucasian/White;Latino(a),,kaka
2016/07/11 8:26:35 AM EST,Intermediate Ability,Low Ability,Intermediate Ability,Low Ability,Intermediate Ability,Low Ability,Intermediate Ability,No Ability,No Ability,Low Ability,High Ability,No Ability,No Ability,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Uncomfortable,Comfortable,Uncomfortable,I do not know what this is.,Uncomfortable,Comfortable,Comfortable,Uncomfortable,"Sequence with Illumina paired-end reads and a fairly high depth of read (in millions).  The challenges would likely involve undescribed bacteria that are only seen in this worm, and potentially free-living bacteria that are incidental in the gut of this worm (depending on what its ""specialized diet"" is composed of).  This latter challenge may require a reference based OTU analysis, as de novo assignment would be inappropriate if free-living and symbiotic bacteria cannot be separated from the sequence data set.  As such, a quality reference data base would have to be obtained (possibly Green Genes, or Silva).","You would have to find away to assemble the genomes of different organisms, or to pull out specific reference gene regions from all genomes (like a region of the 16S gene).  The second approach would likely require very high depth of read to be effective.Once assemblies, or OTUs (based on reference region) were established differences could be essayed using alpha diversity metrics, or something like Bray-Curtis to measure comparative diversity.  A perManova could be used for hypothesis testing.",33,Graduate Student,Male,Caucasian/White,,60074#!
2016/07/11 8:26:57 AM EST,Intermediate Ability,Intermediate Ability,Intermediate Ability,No Ability,Intermediate Ability,Low Ability,No Ability,Low Ability,No Ability,Low Ability,Low Ability,No Ability,No Ability,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Very Comfortable,Very Comfortable,Comfortable,I do not know what this is.,Very Comfortable,I do not know what this is.,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,I do not know what this is.,Very Uncomfortable,I do not know what this is.,I do not know what this is.,"I would do 16S with PNA blockers to block sequencing for worm mitochondria.  Challenge would be that the microbes in the worm might not be in the databases (green genes, silva, etc) but you may be able to high level information. ",Technical challenge: PCR inhibitors in soil which can mostly be overcome with extraction hits.  Soil itself is highly diverse and it would be difficult to assign which genes came from which organism even with assembly. ,35,Graduate Student,Female,Caucasian/White,I have very little formal training in micro biome analysis.  I have used QIIME tutorials and published python notebooks to self-train.  It will be great to be in the same room with researchers who perform similar research.,Jeffy03
2016/07/11 8:27:05 AM EST,Intermediate Ability,Low Ability,Low Ability,No Ability,No Ability,Intermediate Ability,Intermediate Ability,No Ability,No Ability,,Intermediate Ability,Low Ability,No Ability,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,"I think I would try and sample from numerous stages of the gut,  and using amplicon sequencing and some kind of quality filter, I would BLAST my sequences against a public database.  I might expect that some of the 16S sequences might not have exact matches given that the worm is a non-model organism.  I realize that in order to look at total abundance across the gut stages, I would have to normalize somehow but that that's the extent of my knowledge!","I would assemble the reads into contigs and map to publicly available databases of genomes.  I may have to use multiple databases if I'm looking at bacterial and fungal DNA, and I vaguely understand that this has its own set of challenges in terms of combining these analyses.  Again, I think that I would also have to normalize to read depth across my samples.",29,Graduate Student,Female,Caucasian/White,I'm really encouraged by the diversity of backgrounds and proficiency in the people around me and I'm excited to get started!,9854
2016/07/11 8:28:00 AM EST,Low Ability,No Ability,No Ability,No Ability,No Ability,No Ability,Intermediate Ability,No Ability,No Ability,No Ability,Low Ability,No Ability,No Ability,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Very Uncomfortable,"Samples:  if possible worm gut microbiome from different biogeography  (& generations if possible) plus environmental samples from where the worm comes/eats.
Can the gut be dissected/partitiioned to examine diversity along diggestive tract?
Sequencing strategy: n=5 for all samples, Illumina MiSeq F515-R806; Mothur analysis
Challenges: Sequence depth to ID common core microbiome if present
ID of tranitorty vs. core vs. environ aquired seqeuence (horizontal verses vertical transfer) 
Determining potential activity of specalised micro-organisms   - Relating 16S to Kegg","Limitations: two plots with one experimental treatment each on a single farm; 
replication is limited, thus limiting overall conclusions on the treatment of corn Vs cattle
 ",38,Ph.D.-holding Professional,Female,Caucasian/White,,UoG16
2016/07/11 8:28:15 AM EST,Intermediate Ability,Low Ability,No Ability,No Ability,High Ability,Intermediate Ability,Intermediate Ability,No Ability,No Ability,Low Ability,High Ability,No Ability,No Ability,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Comfortable,I do not know what this is.,I do not know what this is.,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Comfortable,Comfortable,Very Uncomfortable,I would use Illumina to sequence the 16s marker. Although sequences lengths are shorter compared to 454-pyrosequencing it can produce more reads resulting in higher coverage. Resources that would help with analysis  would be reference genomes.,"Sequences could be grouped according to composition of the sequence (e.g. G+C content) or by similarity to a reference genome. From soil samples, achieving sufficient sequence length and coverage may limit analysis. Depending on length of the read it may be possible to identify the sequences but at a high taxonomic level. ",26,Graduate Student,Female,Asian/Asian American,,K1255Y
2016/07/11 8:28:21 AM EST,Intermediate Ability,No Ability,No Ability,Intermediate Ability,Intermediate Ability,Low Ability,Low Ability,No Ability,No Ability,No Ability,Low Ability,No Ability,No Ability,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Comfortable,I do not know what this is.,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,"16S rRNA illumina sequencing, as non-model organism the available database (e.g. greengenes, silva)on it might be reduced so I would not expect to be able to fully characterize this microbial community. I expect to find a number of unknown or unclassified sequences. Work with unknown sequences and try to classify them individually for example using Blast","Assuming soils from the two plots have similar properties (i.e. texture, pH, mineral composition), and that the main difference between them is due to management (corn vs pasture), I would attribute differences in taxonomic composition to this latter variable. I would use shotgun sequencing to target genomic DNA from the two communities, I would take replicate samples from the two plots to make sure what I would be finding is trully representative of each condition. In terms of taxomomic composition in such environments, I would expect to be able to characterize up to ~90 or so of the population as there could still be  organisms that are not present in the taxonomic database I am using. I do not have experience with functional gene sequencing, but I would expect to find a large presence of genes involved in the N, P, and C cycles as a results of the type of soils analyzing. ",35,Postdoc,Female,Latino(a),Learn as much as I can about metagenomic analysis! ,1220
2016/07/11 8:28:21 AM EST,Intermediate Ability,Intermediate Ability,No Ability,No Ability,Low Ability,Intermediate Ability,Low Ability,No Ability,Intermediate Ability,Low Ability,Intermediate Ability,Intermediate Ability,No Ability,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Very Comfortable,Uncomfortable,Very Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Comfortable,Uncomfortable,"Since it is a 16S marker analysis I would use Illumina sequencing in order to get sufficient depth.  Ideally I would like to have a similar worm that does not have this specialized diet to use as a comparative and I would look for community members that were different between the two (analyzed in either QIIME or mothur).  This search could be more informed by understanding the microbes that generally carry genes for the metabolic pathway in question (if known).  A major challenge would be that the strains carrying this pathways may have acquired them recently and therefore not be phylogenetically distinct.  Also, it may be a very small segment of the population that performs this highly specialized pathway and this would not be visible in the 16S analysis. ",For this analysis I would look at abundance of different functional groups as well as overall phylogenetic diversity.  I would expect very low sensitivity in the phylogenetic analysis since the 16S data is only a small portion of the overall sequencing effort.  For the functional analysis I would likely begin with the MG-RAST breakdown of functions and look for particular sub-groups that were different between the two sites. ,39,Ph.D.-holding Professional,Female,Caucasian/White,,romk90
2016/07/11 8:30:32 AM EST,Intermediate Ability,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,No Ability,Low Ability,No Ability,No Ability,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Comfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,"-I believe there is a set of 'universal' primers that are used in the literature for amplification of diverse 16S sequences.  I'd use those along with PCR, followed by illumina sequencing.
-Challenges would be in determining the specific microbial species in the gut community from 16S sequences, which is not always exact. 
-Additional resources would be a ribosomal sequence database that would help determine the taxonomy of the species in the sample.",#NAME?,28,Ph.D.-holding Professional,Male,Caucasian/White,,2217
2016/07/11 8:31:53 AM EST,Low Ability,No Ability,No Ability,No Ability,No Ability,Low Ability,Low Ability,No Ability,No Ability,Low Ability,Intermediate Ability,No Ability,No Ability,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,I do not know what this is.,I do not know what this is.,I do not know what this is.,Very Uncomfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,"If it is a non model worm, then I would want to identify the members of the microbial community so I would not use a metagenomics approach. ","Could analyze by comparing the data to a known dataset and blasting against it, but then you would have limitations of only knowing what was already known in the dataset. 
Or you may have limitations because of PCR biases in your sequencing preparation techniques, in which only a portion of the microbial community is amplified correctly, and the rare members become lost in translation. ",24,Graduate Student,Male,Caucasian/White,Hoping to get a baseline level of information about pertinent topics in bioinformatics for my research purposes in order to proceed with my doctoral research.,6301992
2016/07/11 8:32:11 AM EST,No Ability,No Ability,No Ability,No Ability,No Ability,Intermediate Ability,Low Ability,No Ability,No Ability,Intermediate Ability,Low Ability,Low Ability,No Ability,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Very Uncomfortable,I do not know what this is.,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Comfortable,Uncomfortable,Very Uncomfortable,"In terms of the sequencing strategy, it is important to consider the depth of coverage required to characterize the gut community of the non-model worm as well as a specific hypothesis you might have about how the communities between the model and non-model worm may differ. Specifically, think about if you need to consider rare microbes. In terms of challenges, since this is a non-model worm, you might want to also sequence the gut community of a model worm on the same specialized diet. I'm not sure what other resources you would need to do this other than information for comparing the model worm gut community and organisms typically found in worms (i.e., using BLAST).",I would start by identifying a hypothesis of how the corn vs pasture communities will differ. Then you can consider the depth you are interested in because soil communities are so diverse this is important. I would then try to assemble reads and try to pull out specific members or genes identified in the hypothesis. Technical limitations may include it being difficult to look for uncommon functional genes or organisms that are not characterized in typically used databases (i.e. BLAST).,30,Graduate Student,Female,Caucasian/White,I'm hoping to come out of here with a basic understanding of metagenomic sequencing tools so I can analyze data on my own and know where to look when I get stuck.,6473
2016/07/11 8:34:13 AM EST,Intermediate Ability,Intermediate Ability,No Ability,Low Ability,Intermediate Ability,Low Ability,Low Ability,No Ability,No Ability,No Ability,Low Ability,Low Ability,No Ability,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Comfortable,I do not know what this is.,Uncomfortable,Comfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,I do not know what this is.,"The first step would be to identify the number of replicate worms needed to get the sample size needed for statistical power (might require 9-10 animals) to account for variability.  Then determining which 16S variable region (or regions) would be ideal for identifying the microbiota in the worm gut.  Then, then sequencing depth needed to capture the amount of diversity present.  Challenges might be obtaining enough or clean enough bacterial DNA (without host carryover) for good amplification and sequencing.  Depending on what the microbiota are that are present, another issue might be classifying the sequences based on a reference database.  One resource might be constructing a custom database for classifying.  Other resources needed are a way to analyze the raw sequences (QIIME or mothur), enough RAM and processors to run analyses, statistical, and visualization programs.  ","In this case, you would be comparing two treatment types on the soil, one with corn and the other dairy cow pasture.  Replicate soil samples from each type would be required to obtain statistical power and account for variability. Considering that metagenomic sequencing is much more intensive in terms of sequencing depth needed and data obtained, it might only be practical to get duplicate samples from each soil type.  Especially since soil is high in bacterial (and eukaryotic and viral) diversity, this type of study would require deeper sequencing than amplicon based sequencing.  The sensitivity will depend on the sequencing depth used and the specificity to taxonomic and functional sequence identification will depend on the methods used for metagenomic analysis.  i.e. how is assembly performed (how long the contigs/scaffolds are) and how well they match to existing databases.  The technical limitations will be that the data generated for metagenomic analyses are much greater and it will take much more computing power to process them.  ",32,Ph.D.-holding Professional,Female,Caucasian/White,"Specifically, I am really interested in learning how to statistically analyze my sequencing data sets and using R to visualize my dataset.  Overall, I'm hoping to come away from this workshop with a deep understanding of both front to end amplicon and metagenomic analysis that I can readily adapt in my own research and for publications. I expect to overcome many of the computational and statistical issues that I am currently encountering in the sequence analyses and have a feeling that I know exactly what I'm doing and the methods that I'm using are correct!  ",1017
2016/07/11 8:35:03 AM EST,No Ability,No Ability,No Ability,No Ability,Low Ability,Intermediate Ability,Low Ability,No Ability,Low Ability,No Ability,Low Ability,No Ability,No Ability,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Very Comfortable,Uncomfortable,Very Uncomfortable,"- Choose your sample type, i.e. fecal sample vs gut tissue sample
- Extract microbial DNA from sample
- Purification and amplification of microbial DNA (including PCR replicates)
- Assemble library 
- NGS of DNA sample (e.g. Ilumina Miseq)
- Would also perhaps want fecal/tissue samples from closely related worms for comparison
- Once data has been returned from the platform, need to remove singletons and chimeric reads for 'cleaner' data
- Maybe rarefy to even coverage (i.e. remove reads below a certain threshold)
- Subset against Phylum (for example) for greater resolution of data
** Potential limitations**
- Have you chosen the best variable region, i.e. V3?
- Have you chosen the best primers for amplification?",Unsure,25,Graduate Student,Female,Caucasian/White,Coming in as almost a complete beginner.,9731
