"Timestamp","Developing a computing workflow","Navigating terminal","Using Amazon EC2","Installing and running mothur","Executing R scripts","Choosing ecological statistics to analyze microbial community data","Using software installed on an Amazon EC2 image","Assembling metagenomes and determining assembly quality","Running a local BLAST","Retrieving data from NCBI","I understand what “cd” means.","I know how to assess the quality of Illumina data.","I know the computational commands to summarize sequencing data in mothur","I know how to run R.","I can name at least two different microbial metagenome databases/repositories.","I know what an “R package” is.","I understand the structure of an OTU table.","I know what a “k-mer” is.","I know what a contig is.","I know how to start an EC2 instance.","I know the difference between within-sample (alpha) and comparative (beta) diversity.","I know how to use metadata to guide community analyses.","I know how to assemble shotgun metagenomic data.","I know how to map reads in metagenome analysis","I can independently execute the steps of microbial SHOTGUN metagenomic analysis from raw data processing to statistics. ","I can independently execute the steps of microbial AMPLICON metagenomic analysis from raw data processing to statistics. ","I can make informed choices for analysis parameters for AMPLICON analyses in mothur. ","I understand the differences between unassembled and assembled shotgun metagenomic data.","I understand the limitations of unassembled and assembled shotgun metagenomic data.","I understand what a k-mer is.","I can determine the quality of a shotgun metegenome assembly.","I can think through the steps of a sequencing analysis from start to finish.","I can use an R package to analyze data.","I can move data from at least one other program into R.","I can find and move files on a computer using terminal.","I can evaluate the quality of raw sequencing data.","I can start a remote session using tmux","I can visualize microbial sequencing data in R","I can search for public datasets that are relevant to my own project.","I CANNOT process and quality control SHOTGUN metagenome data unless someone else helps me get started.","I CANNOT process and quality control AMPLICON metagenome data unless someone else helps me get started.","I can complete an analysis project if I have a lot of time to complete the project.","I can complete an analysis project if I have just the help of my research mentor for assistance.","I can find ways of overcoming the problem if I get stuck at a point during data analysis.","I CANNOT complete a data analysis project unless I can call someone for help if I get stuck.","I understand how to design an experiment that minimizes limitations inherent to sequencing methods.","I understand the technical limitations of metagenome data.","Navigating around a Unix file system to view and manipulate files","Making and using a ""key"" for secure EC2 connection","Obtain summary information about sequence files (fasta, fna, fastq)","Calculating resemblance (e.g., similarity, dissimilarity, or distance) matrices from an OTU table","Trimming or filtering out errors from sequences by identifying low coverage kmers in high coverage areas","Assembling a metagenome","Differentiating data modes in R, including numeric, complex, logical, character modes","Testing hypotheses about differences in community structure across samples or sites","Identifying features of public sequence databases that are useful to your research","Suppose that you are doing a 16S rRNA gene marker analysis of the gut microbial community from a non-model worm.  This worm has a unique digestive tract evolved for the breakdown of a specialized diet.  Discuss a sequencing strategy, a number of challenges you expect to face, and what kinds of additional resources are needed to help explore your data set.","Suppose that you are using the Illumina platform to sequence total DNA from soil samples.  For this particular study, the soil samples come evenly distributed from two plot types on a single farm - one growing corn, the other dairy cow pasture. Discuss one or more approaches you would take to analyze the data, as well as your expected sensitivity and specificity to taxonomic and functional sequence identification. Include in your discussion the technical limitations of your analysis.","Please indicate your RATING of each aspect of the workshop:  Introduction to computing ","Please indicate your RATING of each aspect of the workshop:  Introduction to shell","Please indicate your RATING of each aspect of the workshop: EC2 usage","Please indicate your RATING of each aspect of the workshop: Local BLAST","Please indicate your RATING of each aspect of the workshop: Data visualization","Please indicate your RATING of each aspect of the workshop: shotgun metagenome analysis","Please indicate your RATING of each aspect of the workshop: remote sessions with tmux","Please indicate your RATING of each aspect of the workshop: diversity conceptual framework","Please indicate your RATING of each aspect of the workshop: ecological analysis in R","Please indicate your RATING of each aspect of the workshop: amplicon analysis in mothur","OVERALL RATING FOR SPEAKERS","OVERALL RATING FOR WORKSHOP","How well did this workshop meet your needs?","Did you learn what you hoped to have learned by participating in this workshop?","Would you recommend this workshop to your colleagues?","Please provide any comments or suggestions to the instructors for the improving the workshop. We value your feedback.","Please provide your anonymous code below (letters and/or number identifier that you generated during the pre-survey).  This will be used to match pre- and post-course surveys while protecting your anonymity."
"2018/06/30 11:08:29 AM AST","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Low Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Very Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Very Comfortable","Comfortable","Comfortable","I would isolate samples from the gut of this worm, as well as from the gut of reference samples. I would also be be sure to collect worms from various locations to ensure there was not sampling biases. I would also make sure to do my isolations and sequencing in duplicate. Some challenges I would face would be is to get full enough coverage in the metagenome from sequencing. Additional recourse that could be useful would be reference metagenomes from other worm species.","I would conduct both 16s rRNA gene sequencing and shot-gun sequencing, and compare the results. 16s rRNA sequencing would let me who's there, and shot-gun would give me more detail, such as the variation between strains, total genetic capacity. I would use PCoA to compare the 16s data after sample processing and normalization. With the shot gun data I would assemble it, annotate it, then PCoA. I would be limited by knowing who's active. If I wanted to know this I would so transcriptomics.","Very good","Very good","Good","Good","Good","Good","Good","Adequate","Good","Very good","Very good","Very good","Very well","Yes","Yes","This course has been the best use of my time. I feel so much more confident in my data analysis skills and have gotten so much out of the experience. I am sad that the course is over, and would like there to be an EDAMAME partII. I honestly cannot say enough positive things about this experience, I feel that this was the catalyst to really allow me to excel in my research.","2048"
"2018/06/30 11:08:52 AM AST","Intermediate Ability","Intermediate Ability","High Ability","Intermediate Ability","High Ability","High Ability","Intermediate Ability","Low Ability","Intermediate Ability","Intermediate Ability","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Comfortable","Comfortable","Comfortable","Very Comfortable","Uncomfortable","Uncomfortable","Very Comfortable","Very Comfortable","Comfortable","I would look at the quality of the raw data using a tool like fastx, then would remove the adapters, and demultiplex the sequences by sample, I could then trim the sequences to get high quality reads, possibly to 251bp for 16S. I would again look at the quality of the sequences. I would make contigs, and then I would use the trim the sequences and remove sequences with long homopolymers. I would remove chimeras using vsearch or something similar. I would then cluster the sequences and run them against a reference database like RDP, but also could use a more worm-specific database if it exists. For this low complexity system mothur would be fine for this workflow management.","I would try to think about how many samples I could sequence from each treatment type and depth and coverage I could get out of those sequences. I am still a little less familiar with how I would go about performing the computing for this type of microbial bioinformatics method. But I do feel more comfortable thinking about the steps I would go through to think about experimental design.","Very good","Good","Very good","Good","Good","Good","Very good","Very good","Good","Good","Very good","Very good","Very well","Yes","Yes","I would recommend removing a bit more of the R introduction work. At this point I feel like it is becoming more and more of a requirement in most ecology PhD programs to at least be comfortable getting data into R. This would allow more time maybe for some of the newer methods in Microbial Ecology that are coming online, and building more basic computing skills. Along those lines, including the community analyses in the mothur day was too much, most of us would do this in R anyways.
It was very helpful when the TAs followed the tutorials most closely, and it was generally harder when the TAs did not follow the tutorial. It was also nice when the TAs would take the time to explain the specific arguments or flags for functions on the command line.
It would be nice also to just have a basic workshop or office hours in the future about just how to load different tools into the EC2 or remote environment. It was mentioned this can be a big part of the time consumption in a lot of these more complex workflows.","asdfdsa"
"2018/06/30 11:09:14 AM AST","High Ability","High Ability","High Ability","High Ability","Intermediate Ability","High Ability","High Ability","High Ability","High Ability","High Ability","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Uncomfortable","Comfortable","Comfortable","Amplicon to estimate the abundance and shotgun metagenomic to confirm function. Use MOTHUR for amplicon sequencing analysis and use EC2 and metagenomic pipeline for data analysis. R can also be used for plotting results. Challenges are that molecular sequencing tools will provide some information to understand the basics and may not guide the understanding of the genes  related to the breakdown of the special diet. If these genes are identified, they could be qPCR quantified for confirmation. ","Running all the data together through the pipeline in order to apply similar quality treatment to the data set to allow downstream analysis. Functional sequencing identification will be limited by the database used for data annotations and could miss some of the functions. Comparative statistics such as ANOSIM and Unifrac (if 16rRNA is used) or comparison of contigs and annotation tables","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very well","Yes","Yes","Please keep teaching and providing the workshop. It is very useful and helpfule ","001"
"2018/06/30 11:12:01 AM AST","Low Ability","Intermediate Ability","High Ability","Intermediate Ability","","Intermediate Ability","High Ability","Low Ability","","High Ability","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Disagree","Agree","Disagree","Agree","Agree","Comfortable","Very Uncomfortable","Comfortable","","Comfortable","Comfortable","Very Comfortable","Comfortable","Comfortable","I would choose for a deeper sequencing coverage that would allow for longer reads. I would expect to have difficulties when trying to annotate the OTUs using a reference database since the study community is unique and not belonging from a model-worm. ","First I would clean the data to remove contamination and sequencing errors.
If I wanted to investigate how specific functions are distributed in the different soil types, I would use the metagenomic data from each soil to look for specific genes. For that I would assemble the genomes into contigs and then do a blast using public database information on the sequence of the genes of interest. I could also use the genome to determine all the functions present by running a function annotation using a database. Similarly, I could perform taxonomic annotation using the 16S rRNA gene in the same metagenomic dataset.","Good","Good","Very good","Very good","Very good","Good","Very good","Very good","Very good","Very good","Very good","Very good","Very well","Yes","Yes","","humuhumu"
"2018/06/30 11:15:43 AM AST","Intermediate Ability","High Ability","High Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","High Ability","High Ability","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Agree","Agree","Strongly Disagree","Agree","Agree","Comfortable","Very Comfortable","Comfortable","Comfortable","Very Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","challenges: non-model could introduce variables to the analysis (different worms may have unique starting gut microbiome or depends upon the environment; genes for breaking down the ""special diet"" between non-model worms may be slightly different.  Strategy: Sample multiple worms from several different environments (maybe use as a condition); also obtain data for other worm that doesn't breakdown the diet for comparison;...","analyze: corn vs non-corn; samples of manure from cows to determine impact of this on the soil micro; sample pasture with ""little"" impact by cows; tech limits: being able to annotate properly or combining databases to analyze/annotate entire environ (soil: microbes, fungi, plants/eukaryotes, manure: cow, plants, microbes, fungi)","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Good","Very good","Very good","Very good","Very well","Yes","Yes","","864301"
"2018/06/30 11:16:34 AM AST","Low Ability","Intermediate Ability","High Ability","Intermediate Ability","High Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Low Ability","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Disagree","Strongly Agree","Agree","Disagree","Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Disagree","Agree","Strongly Disagree","Disagree","Agree","Disagree","Agree","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Uncomfortable","Uncomfortable","Very Comfortable","Comfortable","Uncomfortable","","","Very good","Very good","Very good","Good","Good","Adequate","Very good","Adequate","Good","Adequate","Very good","Very good","Somewhat","Yes","Yes","","2418"
"2018/06/30 11:23:17 AM AST","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","High Ability","High Ability","Intermediate Ability","Intermediate Ability","Low Ability","Low Ability","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Disagree","Disagree","Agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Strongly Agree","Very Comfortable","Comfortable","Comfortable","Very Comfortable","Comfortable","Comfortable","Very Comfortable","Very Comfortable","Comfortable","Using v4 primers, I would get amplicon sequences and use the mothur pipeline to quality control and build contigs from the F and R reads, then use the de novo clustering methods in mothur to define OTUs at the 97% level. I would also use mothur to annotate against the SILVA databases. After the workshop, I still expect to face some challenges but many fewer. For example, I am not 100% sure how to build my own EC2 instance, but I feel comfortable enough that I can figure it out. I also am sure there will be some challenges along the pipeline with errors in executing commands, etc, but I feel comfortable enough to troubleshoot those. In terms of additional resources, I feel comfortable that I have access to everything (EC2, mothur, R). The only additional resources I would seek may be advice from other scientists.","Using the raw reads from each site, I would use an EC2 instance to download the several packages we learned about (such as Trimmomatic, etc) and begin by trimming the raw reads to remove both the adaptors and low quality reads. Then I would assemble the trimmed reads (both F and R) into contigs using megahit. Then I would map the raw reads to the contigs to make hit counts using bowtie2.  After this, there are two options, depdending on if I were interested in reconstructing large contigs or if I were more interested in total hits to particular genes. I usually am interested in the latter. Therefore, I would use gene calling to get hits to particular ORFs. I would do this with HTSeq by comparing to MGRAST for the gene annotation ORFs.
I understand now the limitations of this analysis. The ability to reconstruct a metagenome greatly depends on the sequencing depth and diversity of the sample. While MiSeq can be used to detect 10s of 1000s of OTUs, due to the greater size of a genome compared to the 16S gene, you can really only cover a limited subset of genome-equivalents. This gets even harder if the community is very diverse, as the coverage per genome will be reduced. I feel comfortable making these calculations for a particular environment based on the sequencing depth (HiSeq is probably better) and the expected diversity of the community.","Very good","Very good","Very good","Adequate","Very good","Very good","Very good","Good","Good","Good","Very good","Very good","Very well","Yes","Yes","Thank you! It was great!","02315091"
"2018/06/30 11:33:15 AM AST","Intermediate Ability","Intermediate Ability","High Ability","Low Ability","High Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Comfortable","Very Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Very Comfortable","Comfortable","Comfortable","First, I would decide what region to sequence: probably want to sequence the V4 region of the 16S rRNA gene. Then I would decide what platforms to use for analysis of the raw sequence data. I would keep A copy of the raw data fastq file would be used for multiple platforms: I would use mothur as one platform to assemble OTUs, and then also use QIIME as another platform to assemble OTUs. Some issues to consider with these two platforms is that OTU clustering is based on 97% similarity, so it's possible that actually different organisms could OTUs be clustered together. To mediate this some, I would also use the Usearch pipeline and ZOTUs to create amplicon sequence variants that are based off of 100% similarity. I would then compare the two OTU assemblies and the ASV and look for discrepancies between the two outputs. ","One approach to understand how the functional gene potential varies between the two farm soils is to assemble and annotate the metagenomes using BLAST, and another approach for metaG assembly and annotation would be to use MG-RAST. Issues to troubleshoot on both of these platforms is to make sure the adapters were accurately trimmed. It's possible that one of the paired ends may be lost during trimming of the adapters. Also need to make sure the quality score for the alignment is good.
","Good","Good","Very good","Good","Very good","Good","Good","Very good","Very good","Good","Very good","Very good","Very well","Yes","Yes","I LOVED this workshop! I came in vaguely knowing the language of microbial bioinformatics, but not knowing how all of these platforms and analysis fits together. I now feel like I know the language adequately and can have a sustained conversation about sequencing methods and amplicon and metagenome assembly. I also feel like I can start working with my own sequence data, and when I come to a problem I know what questions to ask to troubleshoot it. I also loved the diversity of speakers and backgrounds of the TAs. It really gave me a broad perspective of how these bioinformatics tools are being used. Thank you so much for this workshop!! I learned so much here, even beyond bioinformatics and analysis.","Soliseed2@ or Soliseed1!"
"2018/06/30 11:37:44 AM AST","Intermediate Ability","High Ability","High Ability","Intermediate Ability","High Ability","High Ability","Intermediate Ability","Low Ability","High Ability","High Ability","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","we can use any high throughput sequencing, but I thing Ilumina sequencing is the most common platform. The problem is, you maybe get a lot of eukaryotic DNA contamination. Thus, you might have to use more specific marker/primer. Second problem that you might be faced is the limitation of references resulted in low resolution of the taxonomy of your data. To explore the data set, you need to understand what is the questions or purposes of your experiment. Thus, you may have to try different set of statistical approaches on R. Besides, you may also try to build your own references/databases of gut microbial community with   
other researchers from the same field in order to get better/higher resolution of your taxonomic analysis.","the experiment is very interesting because you have two very different two sites. Taxonomic and functional analyses can be done by 16S rRNA gene and 16S rRNA sequencing. But, since 16S rRNA gene is too conserved sometimes it makes difficult to distinguish the communities, thus you may want to use rplB gene or other specific gene. You might want to see the differences between those sites by comparing the alpha and beta diversity of the two data. Then you will want to know who are the big players of the communities there by analyzing the most abundant taxa. It is also important to determine the core microbiome between those two sites because since the samples come from single farm, you might want to see shared microbial taxa.","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very well","Yes","Yes","I think it is important for the instructor to follow the tutorial otherwise we will get confuse. Also I think it would be good if the course covers not only mother but also other popular pipelines such as QIIME2 and I really want to learn DADA2 as well. ","1301"
"2018/06/30 11:39:39 AM AST","Intermediate Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","High Ability","Intermediate Ability","High Ability","Intermediate Ability","Intermediate Ability","Intermediate Ability","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Comfortable","Very Comfortable","Comfortable","Very Comfortable","Comfortable","Comfortable","Very Comfortable","Comfortable","Comfortable","I would aim to target for the V4 region of the 16S rRNA, as it is least prone to errors. I would expect the diversity to be lower compared to soil environments for example, so we could expect a higher coverage for each representative. It will largely depend on the research questions, but guts are quite stable environments. If you want to find changes in community composition one needs to design experiments including stressors or different diets. If the question is the function of the microbial community in the digestion of the specialised diet, 16S rRNA probably will not give much of a better insight. Another issue could be, as the system you study is very specific that the annotation of taxa and their classification might be difficult as databases may lack those taxa. Again, it will depend on your research question but combining 16S rRNA with metagenomics or transcriptomics could be more insightful for their functions.","A general issue of soil samples will be that diversity is so high that you might end up with a very low coverage of reads. Meaning that one potentially will only be able to sequence the most abundant representatives in both plot types. If the research question is to see community composition differences, total DNA (metagenomics) will reduce the amount of information but 16S rRNA would be a better approach. If the aim is also to investigate the functional potential, the approach to increase specificity is to do an assembly based annotation. It will allow you to assemble longer contigs on which you can map the reads. One has to be aware though that you will loose a lot of information and probably will only be able to investigate the most abundant organisms in both soil types. On the other hand, if one is interested in the number of functions one should do a raw read based annotation with the mind-set that one can have mis-annotations due to too short reads.","Very good","Very good","Adequate","Good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Very well","Yes","Yes","I really enjoyed the office hours where we could discuss about specific approaches. I wish I would have been further in my project to have more specific questions to discuss but it was already very insightful to hear about other peoples problems and research questions. I also liked that you invited speakers to talk about their research so we can see the approaches being applied. But I think it would have been helpful if you could have added examples of experimental or field studies in the presentations before we start learning about the workflow. We had several questions about when to use what approach and then often the answer was ""it will depend on your questions, what is your question?"". But I think you could give a broad overview of what kind of questions you can ask by using which method. We covered this by talking about everyone's specific problems but I have the impression that the answer was less clear than it could have been.
Something else that came into my mind was, when we talked about how people were selected to come to the workshop. I had the impression that people who already have a dataset were preferred over people without one. However, I think this workshop is also very helpful for students in their early stages, too, to prevent all the potential sequencing mistakes that one can fall into to maximise their data quality because that's what enables us to do a better or more confident data analysis.
Otherwise, even if the course was very intensive and exhausting, I learned a lot and more than I expected. I was amazed by the TAs support and the generous financial support we got to cover the accomodation and food. Thank you!","neko"
"2018/06/30 11:45:48 AM AST","Low Ability","High Ability","High Ability","Low Ability","Intermediate Ability","Intermediate Ability","High Ability","Low Ability","High Ability","High Ability","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Very Uncomfortable","Very Uncomfortable","Uncomfortable","Very Comfortable","Uncomfortable","Comfortable","Very Comfortable","Comfortable","Very Comfortable","I would extract mgDNA from the digestive tract of the non-model worm,  separating out the gut sections if appropriate. I would do the same with either a related model worm as a control/comparison, or would look for a closely related worm that does have this specific diet. I would prepare multiple replicates, expecting subtle differences in data. 

I would quality asses, normalize, and trim the sequence data, then cluster the reads into OTUs using mothur. A non model worm with a unique digestive tract and diet may harbor microbes that are not well represented in databases of known or cultured organisms, so I would likely have to cluster the sequences de novo before identifying them taxonomically. 

I would use R to calculate the similarity matrix to compare the communities of the different worms . I would then create an ordination and do some hypothesis testing to determine whether the communities are different (either between worms or within worms eating a different diet) ","Soil is highly diverse and contains many microbial taxa, so I would sequence as deeply as possible, while using multiple replicate extractions from each site.  I would start analysis by QC-ing the data, then assemble the sequences into contigs. I would begin analysis by looking at community membership - either by 16S or functional gene sequences to get an idea of whether membership changes by site, but this analysis is limited due to the conserved nature of the 16S gene. 

I would start by looking for functional genes that show significant changes in abundance between sites, along with looking for correlating changes in metadata (soil chemistry, features, etc). I would use that information to generate hypotheses on which functions or microbes may be important in processes important to each site. ","Very good","Very good","Very good","Good","Adequate","Adequate","Good","Very good","Poor","Very poor","Good","Very good","Somewhat","Yes","Yes","Some modules did a great job on explaining the decision process behind the software choice/settings/etc. which makes the knowledge much more transferrable to our own work. Others were more rote copy/paste tutorials and did not discuss *why* we would choose a particular st of parameters or packages, or what  is the goal, function, or output of a given set of commands. I found this to be the case for the mothur tutorial in particular, and to some degree also with the metagenome analysis tutorials. 

I would have appreciated more discussion on how to adapt these workflows to different questions or datasets, with some specific examples.

The manual ordination exercise was really helpful in emphasizing the process behind the calculations. ","543923"
"2018/06/30 5:32:54 PM AST","Intermediate Ability","High Ability","High Ability","High Ability","High Ability","Low Ability","Intermediate Ability","Intermediate Ability","High Ability","High Ability","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Very Comfortable","Very Comfortable","Very Comfortable","Very Comfortable","Uncomfortable","Comfortable","Comfortable","Comfortable","Comfortable","I would want to blast against a large and well curated reference database, probably NCBI or RDP. However, since this worm has a unique digestive tract and specialized diet, it is likely that the organisms in it's gut are not well characterized. In this case, I think it would be particularly useful to consider the diet of the organisms specifically (i.e. what microbes may be entering its gut), the specific conditions of the gut (e.g. pH), and the community from a better characterized/model worm.","I'd want to have high replication of field samples from each plot type for 16S amplicon sequencing that are spatially dispersed within the site in order to capture as much of the heterogeneity within the plot as possible. I would also want to sample for metagenomes, but because of amount of data, I would need to limit these samples to perhaps 2 per plot type. Together, these two datasets would allow me to explore ""dominant"" community structure (16S) and examine a more less biased, more functionally informative set of data (metagenomes). The 16S samples will provide a phylogenetically coarser view, but spatially resolved view of the site, while the metagenomes will provide a higher resolution view of potential differences in community composition and function between the two sites. ","Very good","Very good","Very good","Very good","Good","Adequate","Good","Adequate","Poor","Adequate","Good","Very good","Somewhat","Yes","Yes","Being new to genomics and bioinformatics, I would have appreciated some more discussion on what exactly we were analyzing at each step of the process. Though still an incredibly useful course, I feel that I left with a strong understanding of how to use my computer to organize and analyze my data, but less of an understanding for why I would choose to do it that way or what I was actually doing to my data at each step of the process.","6710"
"2018/07/01 9:15:52 PM AST","Low Ability","Intermediate Ability","High Ability","Intermediate Ability","Low Ability","Low Ability","I'm not sure what this is","Low Ability","Low Ability","Intermediate Ability","Strongly Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Comfortable","Very Comfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Comfortable","I feel more comfortable with the tools necessary to do this, but still feel uncomfortable knowing where to start and sequential steps of doing so. However, if someone helped specify steps for me, I feel confident in my ability to start each step. ","I feel more comfortable with the tools necessary to do this, but still feel uncomfortable knowing where to start and sequential steps of doing so. However, if someone helped specify steps for me, I feel confident in my ability to start each step. ","Good","Good","Very good","Very good","Very good","Good","Very good","Good","Good","Very good","Very good","Very good","Very well","Yes","Yes","It would've been nice to have the TAs each introduce themselves the same way the students did with lightning presentations and having them at the start of the day rather than the end. It'd also be helpful to have a pdf with each students' name, photo, location and short summary on their research sent out before the conference in order to get to know everyone a little better before the workshop and think of potential collaborations. I also would have liked some sort of ice breaker involving having people split into groups based on comfort with computing, area of research (soil, human gut, water, etc.) to encourage discussion and further collaboration.","4313"
